Disease	Disease1	ICD-11_Code	Category
Plasmodium malariae malaria without complication	Plasmodium malariae malaria without complication	1F42.Z	0
Plasmodium malariae malaria with nephropathy	Plasmodium malariae malaria with nephropathy	1F42.0	0
Other parasitologically confirmed malaria	Other parasitologically confirmed malaria	1F44	0
Malaria due to Plasmodium ovale	Malaria due to Plasmodium ovale	1F43	0
Malaria, unspecified	Malaria, unspecified	1F4Z	0
Leishmaniasis, unspecified	Leishmaniasis, unspecified	1F54.Z	0
Visceral leishmaniasis	Visceral leishmaniasis	1F54.0	0
Cutaneous leishmaniasis	Cutaneous leishmaniasis	1F54.1	0
Mucocutaneous leishmaniasis	Mucocutaneous leishmaniasis	1F54.2	0
African trypanosomiasis, unspecified / Parasitic or protozoal encephalitis	African trypanosomiasis, unspecified / Parasitic or protozoal encephalitis	1F51.Z/1D00.2	0
Gambiense trypanosomiasis, unspecified	Gambiense trypanosomiasis, unspecified	1F51.0Z	0
Rhodesiense trypanosomiasis, unspecified	Rhodesiense trypanosomiasis, unspecified	1F51.1Z	0
Chagas disease, unspecified	Chagas disease, unspecified	1F53.Z	0
Acute Chagas disease without heart involvement	Acute Chagas disease without heart involvement	1F53.1	0
Chronic Chagas disease with heart involvement	Chronic Chagas disease with heart involvement	1F53.2	0
Chagas disease with digestive system involvement	Chagas disease with digestive system involvement	1F53.3	0
Toxoplasmosis, unspecified	Toxoplasmosis, unspecified	1F57.Z	0
Eye disease due to Toxoplasma gondii	Eye disease due to Toxoplasma gondii	1F57.3	0
Hepatitis due to Toxoplasma gondii	Hepatitis due to Toxoplasma gondii	1F57.0	0
Meningoencephalitis due to Toxoplasma gondii	Meningoencephalitis due to Toxoplasma gondii	1F57.1	0
Pulmonary toxoplasmosis due to Toxoplasma gondii	Pulmonary toxoplasmosis due to Toxoplasma gondii	1F57.2	0
Babesiosis	Babesiosis	1F52	0
Acanthamoebiasis	Acanthamoebiasis	1F50	0
Naegleriasis	Naegleriasis	1F55	0
Helminthiases, unspecified	Helminthiases, unspecified	1F9Z	0
Schistosomiasis due to unspecified or unknown Schistosoma species	Schistosomiasis due to unspecified or unknown Schistosoma species	1F86.Z	0
Schistosomiasis due to Schistosoma haematobium	Schistosomiasis due to Schistosoma haematobium	1F86.0	0
Schistosomiasis due to Schistosoma mansoni	Schistosomiasis due to Schistosoma mansoni	1F86.1	0
Schistosomiasis due to Schistosoma japonicum	Schistosomiasis due to Schistosoma japonicum	1F86.2	0
Cercarial dermatitis	Cercarial dermatitis	1F86.4	0
Diseases due to trematodes, unspecified	Diseases due to trematodes, unspecified	1F8Z	0
Opisthorchiasis	Opisthorchiasis	1F84	0
Clonorchiasis	Clonorchiasis	1F80	0
Dicrocoeliasis	Dicrocoeliasis	1F81	0
Fascioliasis	Fascioliasis	1F82	0
Paragonimiasis	Paragonimiasis	1F85	0
Fasciolopsiasis	Fasciolopsiasis	1F83	0
Echinococcosis, unspecified	Echinococcosis, unspecified	1F73.Z	0
Echinococcus infection of liver	Echinococcus infection of liver	1F73.0	0
Echinococcus infection of lung	Echinococcus infection of lung	1F73.1	0
Echinococcus infection of bone	Echinococcus infection of bone	1F73.2	0
Taeniasis, unspecified	Taeniasis, unspecified	1F76.Z	0
Taeniasis due to Taenia solium	Taeniasis due to Taenia solium	1F76.0	0
Taeniasis due to Taenia saginata	Taeniasis due to Taenia saginata	1F76.1	0
Cysticercosis, unspecified	Cysticercosis, unspecified	1F70.Z	0
Cysticercosis of central nervous system	Cysticercosis of central nervous system	1F70.0	0
Cysticercosis of eye	Cysticercosis of eye	1F70.1	0
Diseases due to cestodes, unspecified	Diseases due to cestodes, unspecified	1F7Z	0
Diphyllobothriasis	Diphyllobothriasis	1F71	0
Sparganosis	Sparganosis	1F75	0
Hymenolepiasis	Hymenolepiasis	1F74	0
Dipylidiasis	Dipylidiasis	1F72	0
Dracunculiasis	Dracunculiasis	1F64	0
Onchocerciasis	Onchocerciasis	1F6A	0
Filariasis, unspecified	Filariasis, unspecified	1F66.Z	0
Filariasis due to Wuchereria bancrofti	Filariasis due to Wuchereria bancrofti	1F66.30	0
Filariasis due to Brugia malayi	Filariasis due to Brugia malayi	1F66.31	0
Filariasis due to Brugia timori	Filariasis due to Brugia timori	1F66.32	0
Loiasis	Loiasis	1F66.0	0
Mansonelliasis	Mansonelliasis	1F66.1	0
Trichinosis	Trichinosis	1F6E	0
Hookworm diseases	Hookworm diseases	1F68	0
Necatoriasis	Necatoriasis	1F68.1	0
Ascariasis	Ascariasis	1F62	0
Strongyloidiasis	Strongyloidiasis	1F6B	0
Trichuriasis	Trichuriasis	1F6G	0
Enterobiasis	Enterobiasis	1F65	0
Anisakiasis	Anisakiasis	1F61	0
Capillariasis of the intestine	Capillariasis of the intestine	1F63.0	0
Trichostrongyliasis	Trichostrongyliasis	1F6F	0
Intestinal angiostrongyliasis	Intestinal angiostrongyliasis	1F60.1	0
Other and unspecified infestation by parasitic worms, unspecified	Other and unspecified infestation by parasitic worms, unspecified	1F90.Z	0
Intestinal helminthiasis, unspecified	Intestinal helminthiasis, unspecified	1F90.2	0
Toxocariasis	Toxocariasis	1F6D	0
Gnathostomiasis	Gnathostomiasis	1F67	0
Angiostrongyliasis, unspecified	Angiostrongyliasis, unspecified	1F60.Z	0
Syngamosis	Syngamosis	1F6C	0
Infestation by unknown or unspecified ectoparasite	Infestation by unknown or unspecified ectoparasite	1G0Z	0
Pediculosis capitis	Pediculosis capitis	1G00.0	0
Pediculosis corporis	Pediculosis corporis	1G00.1	0
Pediculosis of unspecified site or type	Pediculosis of unspecified site or type	1G00.Z	0
Pthiriasis	Pthiriasis	1G03	0
Scabies	Scabies	1G04	0
Myiasis, unspecified	Myiasis, unspecified	1G01.Z	0
Cutaneous myiasis	Cutaneous myiasis	1G01.3	0
Ocular myiasis	Ocular myiasis	1G01.0	0
Nasopharyngeal myiasis	Nasopharyngeal myiasis	1G01.1	0
Tungiasis	Tungiasis	1G05	0
External hirudiniasis	External hirudiniasis	1G02	0
Unspecified parasitic diseases	Unspecified parasitic diseases	1G2Z	0
Sequelae of tuberculosis	Sequelae of tuberculosis	1G80	0
Sequelae of poliomyelitis	Sequelae of poliomyelitis	1G83	0
Sequelae of leprosy	Sequelae of leprosy	1G82	0
Gram Positive Bacteria	Gram Positive Bacteria	XN2QM	0
Streptococcus, group A	Streptococcus, group A	XN6LP	0
Streptococcus, group B	Streptococcus, group B	XN2M1	0
Streptococcus, group D	Streptococcus, group D	XN5KC	0
Streptococcus pneumoniae	Streptococcus pneumoniae	XN3PW	0
Streptococcus	Streptococcus	XN3NM	0
Staphylococcus aureus	Staphylococcus aureus	XN6BM	0
Staphylococcus	Staphylococcus	XN9ZG	0
Mycoplasma pneumoniae	Mycoplasma pneumoniae	XN4NV	0
Klebsiella pneumoniae	Klebsiella pneumoniae	XN741	0
Escherichia coli	Escherichia coli	XN6P4	0
Haemophilus influenzae	Haemophilus influenzae	XN1P6	0
Proteus	Proteus	XN3BS	0
Pseudomonas	Pseudomonas	XN022	0
Bacteroides fragilis	Bacteroides fragilis	XN2R7	0
Clostridium perfringens	Clostridium perfringens	XN7J5	0
Adenovirus	Adenovirus	XN000	0
Enterovirus	Enterovirus	XN2P0	0
Coronavirus	Coronavirus	XN83D	0
Retrovirus	Retrovirus	XN6FR	0
Human respiratory syncytial virus	Human respiratory syncytial virus	XN275	0
Reovirus	Reovirus	XN22T	0
Parvovirus	Parvovirus	XN7X8	0
Human papillomavirus	Human papillomavirus	XN8JY	0
Helicobacter pylori	Helicobacter pylori	XN3DY	0
Vibrio vulnificus	Vibrio vulnificus	XN44G	0
Neoplasms	Neoplasms	02	0
Hepatoblastoma	Hepatoblastoma	2C12.01	0
Angiosarcoma of liver	Angiosarcoma of liver	2B56.3	0
Sarcoma, not elsewhere classified of other specified sites	Sarcoma, not elsewhere classified of other specified sites	2B5F.2	0
Mesothelioma of pleura	Mesothelioma of pleura	2C26.0	0
Mesotheliomas of peritoneum, unspecified	Mesotheliomas of peritoneum, unspecified	2C51.2Z	0
Kaposi sarcoma of unspecified primary site	Kaposi sarcoma of unspecified primary site	2B57.Z	0
Kaposi sarcoma of skin	Kaposi sarcoma of skin	2B57.1	0
Unspecified malignant soft tissue tumours or sarcomas of bone or articular cartilage of other or unspecified sites	Unspecified malignant soft tissue tumours or sarcomas of bone or articular cartilage of other or unspecified sites	2B5K	0
Primary malignant meningioma	Primary malignant meningioma	2A01.00	0
Tumours of cranial or paraspinal nerves, unspecified	Tumours of cranial or paraspinal nerves, unspecified	2A02.1Z	0
Neoplasms of haematopoietic or lymphoid tissues, unspecified	Neoplasms of haematopoietic or lymphoid tissues, unspecified	2B3Z	0
Hodgkin lymphoma, unspecified	Hodgkin lymphoma, unspecified	2B30.Z	0
Nodular lymphocyte predominant Hodgkin lymphoma	Nodular lymphocyte predominant Hodgkin lymphoma	2B30.0	0
Nodular sclerosis classical Hodgkin lymphoma	Nodular sclerosis classical Hodgkin lymphoma	2B30.10	0
Mixed cellularity classical Hodgkin lymphoma	Mixed cellularity classical Hodgkin lymphoma	2B30.12	0
Lymphocyte depleted classical Hodgkin lymphoma	Lymphocyte depleted classical Hodgkin lymphoma	2B30.13	0
Lymphocyte-rich classical Hodgkin lymphoma	Lymphocyte-rich classical Hodgkin lymphoma	2B30.11	0
Classical Hodgkin lymphoma, unspecified	Classical Hodgkin lymphoma, unspecified	2B30.1Z	0
Follicular lymphoma, unspecified	Follicular lymphoma, unspecified	2A80.Z	0
Follicular lymphoma grade 1	Follicular lymphoma grade 1	2A80.0	0
Follicular lymphoma grade 2	Follicular lymphoma grade 2	2A80.1	0
Follicular lymphoma grade 3	Follicular lymphoma grade 3	2A80.2	0
Primary cutaneous follicle centre lymphoma	Primary cutaneous follicle centre lymphoma	2A80.3	0
Mantle cell lymphoma	Mantle cell lymphoma	2A85.5	0
Diffuse large B-cell lymphoma, not otherwise specified	Diffuse large B-cell lymphoma, not otherwise specified	2A81.Z	0
Mycosis fungoides	Mycosis fungoides	2B01	0
Sézary syndrome	Sézary syndrome	2B02	0
Peripheral T-cell lymphoma, not otherwise specified	Peripheral T-cell lymphoma, not otherwise specified	2A90.C	0
Anaplastic large cell lymphoma, ALK-positive	Anaplastic large cell lymphoma, ALK-positive	2A90.A	0
Anaplastic large cell lymphoma, ALK-negative	Anaplastic large cell lymphoma, ALK-negative	2A90.B	0
Primary cutaneous T-cell lymphoma of undetermined or unspecified type	Primary cutaneous T-cell lymphoma of undetermined or unspecified type	2B0Z	0
Malignant lymphoma of B cell type, not elsewhere classified	Malignant lymphoma of B cell type, not elsewhere classified	2A86.0	0
Primary mediastinal large B-cell lymphoma	Primary mediastinal large B-cell lymphoma	2A81.0	0
Malignant lymphoma, not elsewhere classified	Malignant lymphoma, not elsewhere classified	2B33.5	0
Extranodal NK/T-cell lymphoma, nasal type	Extranodal NK/T-cell lymphoma, nasal type	2A90.6	0
Hepatosplenic T-cell lymphoma	Hepatosplenic T-cell lymphoma	2A90.8	0
Enteropathy associated T-cell lymphoma	Enteropathy associated T-cell lymphoma	2A90.7	0
Subcutaneous panniculitis-like T-cell lymphoma	Subcutaneous panniculitis-like T-cell lymphoma	2B00	0
Angioimmunoblastic T-cell lymphoma	Angioimmunoblastic T-cell lymphoma	2A90.9	0
Primary cutaneous CD30 positive anaplastic large cell lymphoma	Primary cutaneous CD30 positive anaplastic large cell lymphoma	2B03.0	0
Heavy chain diseases, unspecified	Heavy chain diseases, unspecified	2A84.Z	0
Lymphoplasmacytic lymphoma	Lymphoplasmacytic lymphoma	2A85.4	0
Alpha heavy chain disease	Alpha heavy chain disease	2A84.0	0
Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin	Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin	2A85.3	0
Plasma cell myeloma	Plasma cell myeloma	2A83.1	0
Extraosseous plasmacytoma	Extraosseous plasmacytoma	2A83.3	0
Solitary plasmacytoma	Solitary plasmacytoma	2A83.2	0
Myeloid sarcoma	Myeloid sarcoma	2A60.39	0
Acute panmyelosis with myelofibrosis	Acute panmyelosis with myelofibrosis	2A60.38	0
Myeloproliferative and myelodysplastic disease, unclassifiable	Myeloproliferative and myelodysplastic disease, unclassifiable	2A44	0
Langerhans cell histiocytosis	Langerhans cell histiocytosis	2B31.2	0
Mastocytosis, unspecified	Mastocytosis, unspecified	2A21.Z	0
Histiocytic sarcoma	Histiocytic sarcoma	2B31.1	0
Benign osteogenic tumours of bone or articular cartilage of limbs	Benign osteogenic tumours of bone or articular cartilage of limbs	2E83.5	0
Benign osteogenic tumours of bone or articular cartilage of skull or face	Benign osteogenic tumours of bone or articular cartilage of skull or face	2E83.0	0
Benign osteogenic tumours of bone or articular cartilage of lower jaw	Benign osteogenic tumours of bone or articular cartilage of lower jaw	2E83.1	0
Benign osteogenic tumours of bone or articular cartilage of vertebral column	Benign osteogenic tumours of bone or articular cartilage of vertebral column	2E83.2	0
Benign osteogenic tumours of bone or articular cartilage of ribs, sternum or clavicle	Benign osteogenic tumours of bone or articular cartilage of ribs, sternum or clavicle	2E83.3	0
Benign osteogenic tumours of bone or articular cartilage of pelvic bones, sacrum or coccyx	Benign osteogenic tumours of bone or articular cartilage of pelvic bones, sacrum or coccyx	2E83.4	0
Deep internal or visceral lipoma	Deep internal or visceral lipoma	2E80.02	0
Deep subfascial lipoma	Deep subfascial lipoma	2E80.01	0
Neoplastic haemangioma, unspecified	Neoplastic haemangioma, unspecified	2E81.0Z	0
Benign fibrohistiocytic tumour of retroperitoneum or peritoneum	Benign fibrohistiocytic tumour of retroperitoneum or peritoneum	2E85.1	0
Melanocytic naevus, unspecified	Melanocytic naevus, unspecified	2F20.Z	0
Leiomyoma of uterus	Leiomyoma of uterus	2E86.0	0
Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site	Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site	2F90.Z	0
Polycythaemia vera	Polycythaemia vera	2A20.4	0
Myelodysplastic syndromes, unspecified	Myelodysplastic syndromes, unspecified	2A3Z	0
Refractory anaemia	Refractory anaemia	2A30	0
Refractory anaemia with ring sideroblasts	Refractory anaemia with ring sideroblasts	2A33	0
Refractory anaemia with excess of blasts	Refractory anaemia with excess of blasts	2A35	0
Refractory cytopenia with multi-lineage dysplasia	Refractory cytopenia with multi-lineage dysplasia	2A34	0
Myelodysplastic syndrome with isolated del(5q)	Myelodysplastic syndrome with isolated del(5q)	2A36	0
Monoclonal gammopathy of undetermined significance	Monoclonal gammopathy of undetermined significance	2A83.0	0
Thrombocytosis, unspecified	Thrombocytosis, unspecified	3B63.Z	0
Primary myelofibrosis	Primary myelofibrosis	2A20.2	0
Iron deficiency anaemia, unspecified	Iron deficiency anaemia, unspecified	3A00.Z	0
Acquired iron deficiency anaemia due to blood loss, unspecified	Acquired iron deficiency anaemia due to blood loss, unspecified	3A00.0Z	0
Megaloblastic anaemia due to vitamin B12 deficiency, unspecified	Megaloblastic anaemia due to vitamin B12 deficiency, unspecified	3A01.Z	0
Hereditary Vitamin B12 deficiency anaemia	Hereditary Vitamin B12 deficiency anaemia	3A01.0	0
Folate deficiency anaemia, unspecified	Folate deficiency anaemia, unspecified	3A02.Z	0
Folate deficiency anaemia due to low intake	Folate deficiency anaemia due to low intake	3A02.1	0
Drug-induced folate deficiency anaemia	Drug-induced folate deficiency anaemia	3A02.4	0
Other nutritional or metabolic anaemias	Other nutritional or metabolic anaemias	3A03	0
Protein deficiency anaemia	Protein deficiency anaemia	3A03.1	0
Scorbutic anaemia	Scorbutic anaemia	3A03.2	0
Anaemias or other erythrocyte disorders, unspecified	Anaemias or other erythrocyte disorders, unspecified	3A9Z	0
Hereditary haemolytic anaemia, unspecified	Hereditary haemolytic anaemia, unspecified	3A10.Z	0
Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency	Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency	3A10.00	0
Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies, unspecified	Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies, unspecified	3A10.0Z	0
Thalassaemias, unspecified	Thalassaemias, unspecified	3A50.Z	0
Alpha thalassaemia, unspecified	Alpha thalassaemia, unspecified	3A50.0Z	0
Beta thalassaemia	Beta thalassaemia	3A50.2	0
Delta, delta-beta or gamma-delta-beta thalassaemia	Delta, delta-beta or gamma-delta-beta thalassaemia	3A50.3	0
Hereditary persistence of fetal haemoglobin	Hereditary persistence of fetal haemoglobin	3A50.4	0
Sickle cell disorders or other haemoglobinopathies, unspecified	Sickle cell disorders or other haemoglobinopathies, unspecified	3A51.Z	0
Sickle cell disease with crisis	Sickle cell disease with crisis	3A51.2	0
Sickle cell disease without crisis	Sickle cell disease without crisis	3A51.1	0
Compound heterozygous sickling disorders without crisis	Compound heterozygous sickling disorders without crisis	3A51.3	0
Sickle cell trait	Sickle cell trait	3A51.0	0
Hereditary elliptocytosis	Hereditary elliptocytosis	3A10.2	0
Acquired haemolytic anaemia, unspecified	Acquired haemolytic anaemia, unspecified	3A2Z	0
Acquired haemolytic anaemia, immune	Acquired haemolytic anaemia, immune	3A20	0
